"","edu","m1","m2","res"
"343",3,6,20,0.0094454211704965
"344",3,2,3,0.0726278035280484
"345",3,2,0,0.223204131206515
"346",3,2,1,0.166691729292684
"347",3,2,11,0.0258239873065728
"348",3,2,17,0.0259015529536012
"349",3,2,4,0.0327764662010637
"350",3,2,6,0.0122729446887943
"351",3,2,2,0.478554837644805
"352",3,2,16,0.0252554731748132
"353",3,2,5,0.0107868214199433
"354",3,2,13,0.00944150455060319
"355",3,16,3,0.050764041573284
"356",3,16,0,0.279808211596627
"357",3,16,1,0.328545760126471
"358",3,16,11,0.0429868016439992
"359",3,16,17,0.0474221894778264
"360",3,16,19,0.0129880432018475
"361",3,16,4,0.0202970303852119
"362",3,16,6,0.0096025624484365
"363",3,16,16,0.277002484066894
"364",3,16,15,0.0149655321404408
"365",3,16,20,0.00984517983503379
"366",3,18,0,0.216823176557527
"367",3,18,1,0.0727356864303931
"368",3,18,19,0.0298237925636552
"369",3,18,4,0.0152203288486738
"370",3,18,18,0.659413146128462
"371",3,15,3,0.0881329389360056
"372",3,15,0,0.291689498351669
"373",3,15,1,0.2164588795109
"374",3,15,17,0.0815753913692393
"375",3,15,4,0.0580100722205292
"376",3,15,6,0.0097575266338032
"377",3,15,16,0.0678947913336957
"378",3,15,15,0.223330940101769
"379",3,5,3,0.045051339356936
