houseid,hhsize,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,pr_male,drvrcnt,numadlt,wrkcount,Pr_senior,Pr_adult,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Pr_white,HH_white,Work_hm,Pr_wrkhm,Home_own,Home_rent,Home_other,hhvehcnt,HH_veh,Veh_0,Veh_1,Veh_2,Veh_3,Veh_acces,Veh_avl,hhfaminc,Low_inc,Medium_inc,Hg_inc,Income_low,Urban_big,Rural_Big,wthhfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,Low_BK,Low_RD,high_RD,Veh0_BK,Veh0_RD,Rural_BK,Rural_RD,N_BK,N_RD,C_BK,C_RD,C_RD_SEnior,INCLW_bk,INCLW_rd,VMTwt_HH,LN_VMTHH
30038567,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,08,0,1,0,0,1,0,77.74622028204,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13837.7365927688,9.53522693835513
30038589,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,05,0,1,0,1,1,0,271.64532533846,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066.00995524874,8.71062116882586
30038629,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,07,0,1,0,1,1,0,25.40697636332,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5416.30908344332,8.59735449207765
30038663,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,2,1,06,0,1,0,1,1,0,43.77728212318,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057.51074461198,7.6297380608281
30038781,3,0,0,0,2,0,0,1,.333333333333333,2,2,2,0,.666666666666667,0,2,0,0,0,0,0,0,0,1,.333333333333333,1,0,0,3,3,0,0,0,1,1.5,1,09,0,1,0,0,1,0,239.46010971669,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53552.6364217549,10.8884389806059
30038889,4,0,0,2,1,0,0,1,.25,3,3,2,0,.75,3,0,0,0,0,0,0,.75,1,0,0,1,0,0,2,2,0,0,1,0,.666666666666667,0,07,0,1,0,1,0,1,212.72756579617,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25531.2484501691,10.1476975772611
30038913,5,0,0,2,1,0,0,2,.4,3,3,1,0,.6,3,0,0,0,0,0,0,.6,0,0,0,1,0,0,2,2,0,0,1,0,.666666666666667,0,06,0,1,0,1,1,0,166.82315725664,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60500.839530107,11.010429049013
30039013,2,0,0,0,0,2,0,1,.5,2,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,07,0,1,0,1,1,0,646.33536442534,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616165.73347765,14.2955676893978
30039046,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,04,1,0,0,1,1,0,11302.7851451801,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011.2055427364,9.21156018197901
30039191,2,0,0,0,0,1,0,0,0,1,2,1,.5,1,1,0,0,0,0,0,0,.5,0,0,0,1,0,0,1,1,0,1,0,0,1,1,06,0,1,0,1,1,0,106.46591474938,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.528821101934,5.98777981958474
30039358,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,01,1,0,0,1,1,0,551.47084402198,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,569.737919303637,6.34693011883221
30039763,4,0,0,3,0,0,0,2,.5,2,3,2,0,.75,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,.5,0,04,1,0,0,1,1,0,2109.82512056334,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19837.6408448628,9.89538687268895
30039840,3,0,0,0,2,0,0,1,.333333333333333,2,3,2,0,1,2,0,0,0,0,0,0,.666666666666667,0,1,.333333333333333,1,0,0,2,2,0,0,1,0,1,1,10,0,0,1,0,0,1,1059.43317027747,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,46590.0965919253,10.7491647416003
30040007,2,0,0,0,1,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,.5,0,0,0,1,0,0,3,3,0,0,0,1,1.5,1,06,0,1,0,1,1,0,301.17847370795,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9124.90589690633,9.11887244989642
30040094,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,1,0,2,1,10,0,0,1,0,1,0,392.9011107656,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11731.4492704309,9.37011372380932
30040429,2,0,0,0,0,2,0,1,.5,2,2,1,1,1,2,0,0,0,0,0,0,1,1,1,.5,1,0,0,2,2,0,0,1,0,1,1,08,0,1,0,0,1,0,2810.07923604117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9361.78748929355,9.14449833382064
30040433,3,0,0,1,1,1,0,1,.333333333333333,3,3,1,.333333333333333,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,1.66666666666667,1,08,0,1,0,0,1,0,545.63894907148,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368018.768069942,12.8158919332897
30040492,2,0,0,0,1,1,0,1,.5,2,2,1,.5,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,.5,0,06,0,1,0,1,1,0,1037.18689549007,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22098.8742069264,10.0033271954954
30040504,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,07,0,1,0,1,1,0,3896.13852385021,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10579.3504128841,9.26675382517423
30040700,2,0,0,0,0,2,0,1,.5,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,02,1,0,0,1,1,0,3835.32286998822,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,22992.9849821576,10.0429879381934
30040786,2,0,0,0,2,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,11,0,0,1,0,1,0,46.8462837881,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,395260.993839979,12.8873040995575
30040817,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,0,1,3,1,06,0,1,0,1,1,0,1701.19939818129,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12785.7040007334,9.45616116009039
30041037,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,04,1,0,0,1,0,1,327.51224912781,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8053.00464882285,8.99392471861794
30041050,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,03,1,0,0,1,1,0,1134.65695991432,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13064.7369835291,9.47774858535951
30041374,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,03,1,0,0,1,1,0,16.92508153739,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10697.4227096048,9.27785159926673
30041501,2,0,0,2,0,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,2,1,0,1,0,1,1,0,1,0,0,.5,0,10,0,0,1,0,1,0,15996.3426873212,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73363.6098175233,11.2031969432539
30041532,3,1,0,0,1,0,0,1,.333333333333333,2,2,1,0,.666666666666667,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,1,1,06,0,1,0,1,1,0,400.6592431622,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25963.033075449,10.1644675160491
30041709,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,08,0,1,0,0,1,0,897.04118170557,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3681.83942910549,8.21143931764113
30041805,2,0,0,0,1,1,0,1,.5,2,2,1,.5,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,09,0,1,0,0,0,1,52.02135504106,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47379.9824451745,10.7659762129384
30041999,3,0,0,1,0,0,0,0,0,1,1,1,0,.333333333333333,1,0,0,0,0,0,0,.333333333333333,0,0,0,0,1,0,2,2,0,0,1,0,2,1,03,1,0,0,1,1,0,15861.6240986855,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.398624201771,5.16706123613178
30042023,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,06,0,1,0,1,1,0,459.34625327047,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155.0136216747,8.05706499807645
30042198,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,08,0,1,0,0,1,0,66.34203461366,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83560.1606667992,11.3333341057942
30042261,2,0,0,0,0,2,0,1,.5,2,2,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,0,1,1.5,1,07,0,1,0,1,1,0,267.29462125003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4697.29663064834,8.45495530299752
30042343,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,04,1,0,0,1,1,0,918.26342518899,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,6262.19092217703,8.74244506620209
30042439,2,0,0,2,0,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,0,1,1.5,1,08,0,1,0,0,1,0,2501.54238719899,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149918.426208201,11.917853270145
30042480,2,0,0,0,1,1,0,1,.5,2,2,0,.5,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,.5,0,08,0,1,0,0,1,0,2354.79429654634,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018.29376279841,8.01277822964294
30042525,3,0,0,2,0,0,0,1,.333333333333333,2,2,2,0,.666666666666667,2,0,0,0,0,0,0,.666666666666667,0,1,.333333333333333,1,0,0,1,1,0,1,0,0,.5,0,11,0,0,1,0,1,0,3381.94063472102,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,566.019241547942,6.3403932388626
30042626,4,0,0,2,0,0,0,1,.25,1,2,1,0,.5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,06,0,1,0,1,1,0,3832.32311572251,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15127.1236684728,9.62431078511139
30042651,2,0,0,0,0,2,0,1,.5,2,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,11,0,0,1,0,1,0,1661.75137401075,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3726.5914895892,8.22351759082841
30042947,2,0,0,0,2,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,4,3,0,0,0,0,2,1,07,0,1,0,1,1,0,233.23990237222,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29888.9473651112,10.3052774943233
30043048,3,0,0,1,0,2,0,1,.333333333333333,3,3,0,.666666666666667,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,.666666666666667,0,05,0,1,0,1,1,0,53.40201996977,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35809.2477174315,10.4859893805176
30043052,2,0,0,0,0,2,0,1,.5,2,2,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,05,0,1,0,1,0,1,193.4912863447,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9176.11673335429,9.12446835294671
30043173,4,0,0,1,1,0,0,1,.25,2,2,2,0,.5,2,0,0,0,0,0,0,.5,0,0,0,1,0,0,2,2,0,0,1,0,1,1,10,0,0,1,0,1,0,655.41441731206,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14938.63806535,9.61177323251317
30043197,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,2,1,08,0,1,0,0,0,1,67.31394516375,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12838.7057412332,9.46029765963191
30043414,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,2,1,06,0,1,0,1,0,1,440.42234279549,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38878.147088621,10.5682133213127
